	ABB	ADJ	ADV	AV	BEGIN	CONJ	END	FW	INT	N	NUM	PART	PPM	PRON	PUNC	SB	TN	V
ABB	1	4	1	0	0	14	0	8	0	88	3	18	136	0	5	0	1	13
ADJ	3	286	20	0	0	388	0	10	0	2592	20	1930	467	57	33	1	59	269
ADV	1	116	96	0	0	94	0	4	0	295	15	255	147	13	10	0	11	1465
AV	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
BEGIN	75	1263	256	0	0	722	0	154	94	3851	642	97	5	1001	21	0	84	424
CONJ	51	757	334	0	0	274	0	148	0	3693	339	343	254	390	746	1	112	1830
END	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FW	2	16	3	0	0	102	0	731	0	266	19	263	419	3	123	97	47	150
INT	1	10	2	0	0	0	0	0	0	28	0	0	1	11	26	0	3	6
N	39	1249	335	0	0	1395	0	352	1	5730	1257	8023	11191	130	1790	9	1087	4472
NUM	0	138	2	0	0	61	0	4	0	2422	91	497	279	11	83	62	4	108
PART	22	732	406	1	0	2638	0	191	0	5691	109	9328	13831	259	636	3	166	6834
PPM	82	1446	1232	0	0	363	0	353	3	8017	776	2399	805	697	284	2	305	7808
PRON	0	23	34	0	0	32	0	5	0	263	0	997	1150	38	6	0	15	207
PUNC	16	201	72	0	0	67	10998	83	2	2451	170	93	26	171	9	2	48	201
SB	0	0	0	0	0	8	2	81	0	18	7	8	24	1	18	0	0	12
TN	0	14	2	0	0	7	0	0	0	543	2	1703	14	0	9	0	21	11
V	1	97	19	0	0	4670	0	29	0	820	6	15590	3766	12	110	1	4	2023
