	AB	AQ	AUX	AW	BEGIN	CC	DAD	END	FW	IN	JJ	M	N	NN	NNP	ON	PAD	PRP	PTP	QAD	RB	RPN	TXW	UH	V	VV	W
AB	2	0	1	1	0	1	0	0	0	4	1	0	0	1	0	0	0	0	0	1	0	0	0	0	5	0	0
AQ	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
AUX	0	0	68	53	0	26	0	0	1	6	27	0	0	101	5	0	0	65	0	0	1	0	0	0	1991	0	0
AW	1	0	384	506	0	276	114	0	12	280	289	258	0	679	23	0	0	322	0	124	48	72	22	9	1037	0	0
BEGIN	1	0	7	57	0	185	0	0	26	407	36	202	0	1123	56	13	0	420	0	43	20	3	42	13	113	0	0
CC	2	0	76	189	0	87	2	0	26	121	61	4	0	1038	50	2	0	288	1	75	4	16	12	2	761	1	0
DAD	0	0	126	186	0	52	1	0	3	79	39	5	0	119	2	0	0	84	0	10	12	4	2	0	277	0	0
END	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FW	0	0	27	52	0	34	19	0	40	60	40	3	0	119	34	1	0	2	0	33	2	15	1	0	111	0	0
IN	7	0	55	178	0	40	46	0	120	491	115	16	1	4577	149	3	0	882	0	136	29	12	16	1	688	0	0
JJ	1	0	80	353	0	280	71	0	11	605	434	231	0	487	19	1	0	106	0	147	134	70	5	3	450	0	0
M	0	0	27	112	0	78	3	2757	6	135	35	42	0	258	18	0	0	108	0	24	9	24	6	33	94	0	0
N	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
NN	0	0	436	1304	0	941	689	7	195	2504	1647	179	0	5524	1246	148	32	819	0	949	166	526	48	17	2667	1	1
NNP	0	0	244	126	0	149	32	0	2	139	45	31	0	268	79	9	0	29	0	48	12	62	8	0	426	0	0
ON	0	0	10	5	0	13	3	0	0	17	1	27	0	59	5	2	0	0	0	3	1	3	0	0	25	0	0
PAD	0	0	5	5	0	3	0	0	0	3	2	1	0	3	0	0	0	0	0	0	1	0	0	0	7	0	0
PRP	0	0	509	772	0	141	14	0	3	149	217	48	0	101	44	0	0	95	0	41	41	97	7	6	1713	0	0
PTP	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
QAD	2	0	63	100	0	72	35	0	65	173	30	73	0	809	13	0	0	32	0	108	5	96	12	0	112	0	0
RB	0	0	16	126	0	86	13	0	0	113	35	35	0	93	2	1	0	38	0	14	20	14	0	1	120	0	0
RPN	0	0	152	48	0	1	1	0	2	11	35	0	0	143	8	0	0	181	0	2	3	0	5	0	444	0	0
TXW	0	0	9	10	0	4	12	0	1	5	2	3	0	44	2	0	0	50	0	4	0	5	1	0	25	0	0
UH	0	0	1	10	0	4	0	0	0	1	1	29	0	13	0	0	0	4	0	0	1	0	0	5	9	0	0
V	1	1	54	984	0	366	44	0	122	2312	582	54	0	5081	82	6	0	698	0	110	346	17	10	17	3722	1	0
VV	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0
W	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
