	ADJ	ADP	ADV	BEGIN	CLF	CLT	CNM	COJ	DAN	DAQ	DAV	DBQ	DMN	END	FIX	IAC	IAQ	IBQ	LBL	MTR	N	NEG	NTR	ONM	PAM	PM	PRA	PRE	PRN	PRS	REL	SCO	TTL	V
ADJ	72	0	52	0	8	12	98	240	5	1	0	3	43	2	0	6	30	4	0	0	281	16	3	3	5	312	75	626	33	9	81	12	2	170
ADP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADV	38	0	11	0	0	10	30	66	4	1	0	1	9	0	0	6	0	4	0	0	96	15	1	0	3	178	52	127	13	11	10	1	3	173
BEGIN	38	0	60	0	0	94	19	139	3	0	0	9	11	0	1	0	0	6	0	0	731	16	6	0	0	313	9	174	201	92	26	20	92	53
CLF	33	0	47	0	2	2	7	63	1	1	0	1	1	1	0	5	0	1	0	1	51	7	1	0	2	148	55	290	198	0	40	1	0	84
CLT	27	0	24	0	99	10	3	18	6	0	0	2	4	0	0	1	0	0	0	0	204	30	1	1	7	29	93	51	37	1	20	0	0	192
CNM	7	0	3	0	1035	2	22	56	1	0	0	2	0	1	0	1	2	0	0	0	40	2	1	0	2	176	17	158	129	0	10	2	2	50
COJ	218	0	39	0	0	109	77	18	0	1	0	3	2	0	0	5	0	6	0	0	864	85	6	1	26	129	132	39	196	156	26	11	30	686
DAN	1	0	2	0	0	2	5	5	0	0	0	0	3	0	0	0	0	0	0	0	4	2	0	0	1	19	19	16	1	0	4	0	0	21
DAQ	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	1	1	5	0	0	0	0	0	0
DAV	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
DBQ	5	0	0	0	2	0	16	3	0	0	0	0	0	0	0	0	0	0	0	0	44	1	1	0	0	0	0	8	7	1	2	0	0	12
DMN	7	0	5	0	0	2	1	14	0	0	0	1	0	0	0	1	0	0	0	0	9	6	0	0	0	58	26	11	0	6	6	1	0	77
END	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FIX	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	16
IAC	3	0	6	0	0	0	0	13	0	0	0	0	0	0	0	1	0	0	0	0	2	1	0	0	2	18	26	32	0	1	8	1	0	15
IAQ	1	0	0	0	2	0	12	1	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	1	0	5	2	1	1	0	0	2
IBQ	4	0	1	0	1	1	74	6	2	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	4
LBL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
MTR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0
N	1067	0	280	0	3	73	565	830	61	8	0	14	119	4	2	91	3	27	1	0	2515	66	18	25	70	742	458	2133	866	28	561	24	11	1203
NEG	105	0	9	0	0	1	2	2	0	0	0	8	0	0	0	0	0	0	0	0	24	0	2	0	6	1	70	12	1	0	0	2	1	304
NTR	4	0	2	0	0	1	1	7	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	9	11	2	1	2	4	0	0	15
ONM	0	0	1	0	0	0	57	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	2	0	0	1	0	0	0
PAM	12	0	2	0	0	19	4	2	0	0	0	1	0	0	0	0	0	0	0	0	109	0	0	0	0	2	7	23	14	5	5	0	3	141
PM	84	0	79	0	11	138	147	340	10	1	1	8	27	2093	3	1	0	8	0	0	960	39	5	8	7	241	202	214	813	189	215	33	118	387
PRA	61	0	14	0	0	2	2	7	0	0	0	1	0	0	0	1	0	2	0	0	53	38	0	0	25	0	177	21	0	1	0	0	0	1950
PRE	104	0	29	0	0	263	327	9	3	0	0	7	27	0	6	2	0	5	0	0	3235	27	1	18	6	24	44	71	838	166	53	0	75	111
PRN	50	0	51	0	2	4	63	291	4	0	0	2	5	6	0	3	0	1	0	0	141	35	2	2	10	1551	346	365	684	7	92	4	10	430
PRS	27	0	32	0	0	0	5	20	1	0	0	1	0	1	0	7	0	2	0	0	3	57	1	1	4	48	198	30	5	1	7	2	0	294
REL	213	0	29	0	0	17	10	42	0	1	0	0	2	0	1	12	0	0	0	0	66	48	0	4	6	4	145	11	15	25	25	0	4	598
SCO	1	0	0	0	0	12	0	1	0	0	0	1	1	0	0	0	0	0	0	0	63	2	0	0	0	3	7	8	3	19	1	1	1	3
TTL	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	1	364	0	0	0	19	3
V	328	1	211	0	0	107	289	681	13	0	0	37	15	1	7	5	2	31	0	2	2929	56	19	3	167	312	183	1020	158	62	81	12	21	529
