	A	AB	B	BEGIN	C	CB	CC	CH	E	EB	END	I	L	M	MB	N	NB	NC	NI	NP	NU	NY	P	PB	R	T	V	VB	VY	X	XY	Y	Z
A	2424	0	0	0	1844	0	1228	6562	5301	0	75	12	491	1674	0	6272	8	269	0	253	11	45	877	0	2759	411	4892	1	0	102	2	1	5
AB	0	0	0	0	1	0	0	2	1	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B	1	0	0	0	3	0	0	5	1	0	0	0	0	3	0	2	3	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0
BEGIN	930	0	0	0	2026	0	256	1592	2623	0	0	38	1160	1475	0	7732	11	1238	33	1189	0	201	1952	0	1460	323	3273	1	0	352	0	0	12
C	715	0	0	0	263	0	15	835	748	0	0	0	588	462	0	3953	5	443	0	503	2	61	1270	0	2228	100	3147	0	0	115	0	1	4
CB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
CC	766	0	1	0	70	0	0	72	264	0	0	0	488	358	0	2959	3	152	1	364	0	49	217	0	544	41	2950	0	0	57	0	0	4
CH	2778	3	4	0	2799	0	639	4902	3205	0	27069	40	1474	3653	1	16320	71	1304	15	3280	12	702	2290	0	3417	205	11367	15	2	543	31	6	108
E	968	0	3	0	64	0	15	327	337	0	3	0	3779	2245	0	23230	40	1574	1	2966	5	667	3174	0	423	149	3578	2	0	47	0	5	11
EB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
END	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
I	0	0	0	0	9	0	0	132	0	0	0	7	2	0	0	13	0	0	0	3	0	1	3	0	3	0	4	0	0	0	0	0	0
L	39	0	0	0	13	0	0	141	11	0	0	0	49	150	0	11404	22	1226	0	17	55	51	108	0	20	1	188	0	0	5	0	0	6
M	70	0	6	0	143	0	157	4863	698	0	105	0	26	720	0	9973	19	1540	3	110	2677	109	106	0	220	19	525	1	0	13	0	1	8
MB	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
N	14580	3	3	0	3244	0	3778	18985	12753	0	225	60	946	5213	0	31713	218	884	5	7608	50	1075	7036	0	9280	499	35047	12	2	438	4	40	130
NB	51	0	0	0	19	1	15	156	68	2	1	1	0	18	1	57	6	1	0	17	0	8	15	0	33	1	85	0	0	2	0	2	0
NC	372	0	0	0	14	0	3	127	28	0	0	0	5	17	0	6206	50	29	0	2791	0	140	179	0	38	2	1001	4	0	2	0	1	5
NI	0	0	0	0	1	0	1	39	1	0	3	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	8	0	0	0	0	0	0
NP	568	1	1	0	453	1	797	6911	1287	0	85	25	41	339	0	734	9	26	0	241	1	52	179	1	2510	77	5343	4	0	51	0	1	4
NU	53	0	0	0	89	0	71	859	196	0	5	1	6	100	0	491	1	4	0	15	8	3	35	0	86	18	227	0	0	10	0	0	0
NY	113	0	0	0	90	0	126	1062	344	0	9	0	14	71	0	360	2	3	0	285	0	118	43	0	345	10	592	0	0	12	0	4	4
P	788	0	0	0	751	0	207	2532	963	0	5	9	279	400	0	1887	3	190	1	126	13	16	600	0	4479	266	7024	1	0	73	0	0	3
PB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
R	5020	0	1	0	732	0	160	1775	1489	0	0	11	520	1260	0	3074	6	340	0	126	12	38	783	0	3164	323	20857	2	0	106	0	0	4
T	161	0	0	0	195	0	5	636	242	0	1	1	97	221	0	590	2	63	0	30	4	9	122	0	92	106	315	0	0	8	0	0	1
V	8644	2	5	0	2537	0	1866	9530	12909	0	103	8	3477	4305	0	34789	135	1714	5	1713	13	545	3181	0	9702	743	23506	10	4	331	3	11	40
VB	1	0	0	0	0	0	0	13	6	3	0	0	0	0	0	9	3	1	0	0	0	1	0	0	3	2	3	4	0	0	0	0	0
VY	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X	133	0	0	0	107	0	39	510	199	0	2	0	76	48	0	256	0	23	1	19	0	3	90	0	178	27	319	0	0	5	0	0	0
XY	0	0	0	0	1	0	1	25	2	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	5	0	0	0	0	0	0
Y	2	0	0	0	3	0	2	17	7	0	0	0	0	3	0	2	1	0	0	5	0	4	2	0	7	0	12	0	0	0	0	1	0
Z	31	0	0	0	1	0	0	15	1	0	1	0	0	0	0	232	0	1	0	5	0	4	1	0	4	0	51	0	0	0	0	0	4
